Factor_Category,Sub_Category,Participant_ID,Quote,Context,Analysis_Theme,Table_7_Reference
Knowledge_Mobilization,Research_Process,T01-15,,Data quality importance,Research methodology,TABLE_7_HIGHLIGHTED
Knowledge_Mobilization,Result_Utilization,T01-31,the research can be creatively transformed to serve the industry,Industry application,Knowledge transfer,TABLE_7_HIGHLIGHTED
PI_Leadership,Team_Management,T01-26,administrative positions help mobilize resources from all aspects and can facilitate the completion of the project,Administrative experience,Resource mobilization,TABLE_7_HIGHLIGHTED
PI_Leadership,Academic_Vision,T01-10,the PI's research vision as well as scientific research literacy and ability are important,Research vision,Academic competence,TABLE_7_HIGHLIGHTED
Team_Dynamics,Member_Heterogeneity,T01-33,"it is better to have a combination of different age groups, education, gender, research specialty, title, and young teachers or master's degree students",Demographic diversity,Team composition,TABLE_7_HIGHLIGHTED
Team_Dynamics,Resource_Sharing,T01-24,the sharing of resources among the members of the research team can really play a great role in the teamwork process of interaction and mutual assistance,Resource sharing,Team collaboration,TABLE_7_HIGHLIGHTED
Organizational_Integration,Communication,L01-11,Effective communication among the members of the research team can promote the research,Internal communication,Team coordination,TABLE_7_HIGHLIGHTED
Organizational_Integration,Disciplinary_Integration,T01-33,People from different disciplines are able to inspire and facilitate research,Interdisciplinary collaboration,Innovation stimulation,TABLE_7_HIGHLIGHTED
Knowledge_Mobilization,Research Process,T01-01,Engaging with community partners has significantly improved our research impact.,Discussion on collaborative research approaches.,Community Engagement,
PI_Leadership,Academic Vision,T01-02,Setting clear goals early on helps steer the project effectively.,Planning phase of research.,Leadership Strategies,
Team_Dynamics,Member Heterogeneity,T01-03,"Diverse team members bring unique perspectives, which enriches our findings.",Team composition discussion.,Diversity Benefits,
Organizational_Integration,Research-Policy Linkages,T01-04,Aligning research objectives with organizational goals boosts support.,Institutional support for research.,Strategic Alignment,
Knowledge_Mobilization,Result Utilization,T01-05,Disseminating results through policy briefs has increased uptake.,Knowledge translation activities.,Knowledge Transfer,
PI_Leadership,Research Motivation,T01-06,Motivating the team with shared vision keeps morale high.,Leadership approach.,Team Motivation,
Team_Dynamics,Communication,T01-07,Open communication channels have prevented misunderstandings.,Team meetings.,Effective Communication,
Organizational_Integration,Funding Strategies,T01-08,Securing diverse funding sources ensures project sustainability.,Funding acquisition.,Financial Planning,
Knowledge_Mobilization,Research Process,T01-09,Citizen science initiatives have increased public engagement.,Participatory research methods.,Public Engagement,
PI_Leadership,Leadership Development,T01-10,Mentoring junior researchers is vital for institutional growth.,Capacity building.,Mentorship,
Team_Dynamics,Conflict Resolution,T01-11,Addressing conflicts early maintains team cohesion.,Team conflicts.,Conflict Management,
Organizational_Integration,Inter-agency Collaboration,T01-12,Collaborating with other agencies broadens our research impact.,Cross-sector partnerships.,Collaborative Networks,
Knowledge_Mobilization,Dissemination,T01-13,Using social media amplifies our research messages.,Communication channels.,Digital Outreach,
PI_Leadership,Strategic Planning,T01-14,Long-term planning helps us adapt to emerging challenges.,Research strategy.,Strategic Management,
Team_Dynamics,Inclusivity,T01-15,Ensuring all voices are heard fosters a more innovative environment.,Team meetings.,Inclusive Culture,
Organizational_Integration,Capacity Building,T01-16,Investing in training strengthens our research capabilities.,Skill development programs.,Workforce Development,
Knowledge_Mobilization,Research Impact,T01-17,Tracking the impact of our work helps justify ongoing support.,Impact assessment.,Outcome Measurement,
PI_Leadership,Decision Making,T01-18,Data-driven decisions have improved project outcomes.,Project management.,Evidence-based Leadership,
Team_Dynamics,Motivation,T01-19,Recognizing team achievements boosts morale.,Team recognition.,Motivational Practices,
Organizational_Integration,Policy Influence,T01-20,Research insights have informed new policy directives.,Policy engagement.,Policy Impact,
Knowledge_Mobilization,Research_Communication,T01-01,Sharing preliminary results helps us get feedback from the community.,During a team meeting on project dissemination strategies.,Importance of Early Engagement,
PI_Leadership,Decision_Making,T01-02,"As the principal investigator, I prioritize clear communication with my team.",Leadership meeting about project milestones.,Leadership Transparency,
Team_Dynamics,Interdisciplinary_Collaboration,T01-03, Collaborating across disciplines has enriched our approach.,Discussion on integrating expertise from different fields.,Value of Diversity,
Organizational_Integration,Institutional_Support,T01-04,Our institution provides excellent support for translational research.,Conversation about organizational resources.,Support for Innovation,
Knowledge_Mobilization,Result_Utilization,T01-05,The findings are being used to influence policy.,Summary of research impact on policy.,Research Impact,
PI_Leadership,Mentorship,T01-06,Mentoring junior researchers is essential for sustaining the project.,Discussion on team development.,Mentorship Importance,
Team_Dynamics,Conflict_Resolution,T01-07,Addressing conflicts early keeps our team functioning smoothly.,Team meeting about project issues.,Conflict Management,
Organizational_Integration,Funding_Strategies,T01-08,Securing diverse funding sources is crucial.,Strategy session for upcoming grant applications.,Funding Diversification,
Knowledge_Mobilization,Stakeholder_Engagement,T01-09,Engaging stakeholders early improves research relevance.,Planning stakeholder workshops.,Stakeholder Involvement,
