Factor_Category,Sub_Category,Participant_ID,Quote,Context,Analysis_Theme,Table_4_Reference
Knowledge_Mobilization,Research_Process,T01-15,"for a research subject, the most crucial problem is to obtain original, concrete, and real data",Data quality importance,Research methodology,Table_4_HIGHLIGHTED
Knowledge_Mobilization,Result_Utilization,T01-31,the research can be creatively transformed to serve the industry,Industry application,Knowledge transfer,Table_4_HIGHLIGHTED
PI_Leadership,Team_Management,T01-26,administrative positions help mobilize resources from all aspects and can facilitate the completion of the project,Administrative experience,Resource mobilization,Table_4_HIGHLIGHTED
PI_Leadership,Academic_Vision,T01-10,the PI's research vision as well as scientific research literacy and ability are important,Research vision,Academic competence,Table_4_HIGHLIGHTED
Team_Dynamics,Member_Heterogeneity,T01-33,"it is better to have a combination of different age groups, education, gender, research specialty, title, and young teachers or master's degree students",Demographic diversity,Team composition,Table_4_HIGHLIGHTED
Team_Dynamics,Resource_Sharing,T01-24,the sharing of resources among the members of the research team can really play a great role in the teamwork process of interaction and mutual assistance,Resource sharing,Team collaboration,Table_4_HIGHLIGHTED
Organizational_Integration,Communication,L01-11,Effective communication among the members of the research team can promote the research,Internal communication,Team coordination,Table_4_HIGHLIGHTED
Organizational_Integration,Disciplinary_Integration,T01-33,People from different disciplines are able to inspire and facilitate research,Interdisciplinary collaboration,Innovation stimulation,Table_4_HIGHLIGHTED
Knowledge_Mobilization,Research_Process,T01-29,"there are certain difficulties in the research, the geographical requirements are relatively wide, you need to choose a typical representative place to do a comprehensive research, to see if the information collected back is representative, and some local governments do not receive the research team",Data collection challenges,Geographic and institutional barriers,
Knowledge_Mobilization,Research_Process,L01-23,getting information from government departments,Government involvement,Stakeholder engagement,
Knowledge_Mobilization,Research_Process,L01-34,"will strengthen the contact with government departments, which will be asked to read the research report and suggest some modifications",Policy feedback loop,Knowledge exchange,
Knowledge_Mobilization,Research_Process,L01-16,"the actors, who have rich experience can provide some clues of information and bring some inspiration to the research in exploring research ideas",Community participation,Expert knowledge integration,
Knowledge_Mobilization,Research_Process,T01-08,the research process requires systematic data collection methods and rigorous validation procedures,Research methodology,Systematic approach,
Knowledge_Mobilization,Research_Process,T01-22,fieldwork coordination across multiple regions presents significant logistical challenges,Fieldwork coordination,Logistical barriers,
Knowledge_Mobilization,Research_Process,T01-03,the research design must be flexible enough to accommodate unexpected challenges during data collection,Research design,Flexibility,
Knowledge_Mobilization,Research_Process,T01-37,collaboration with local research institutions significantly enhances data collection efficiency,Local collaboration,Institutional partnership,
Knowledge_Mobilization,Research_Process,L01-05,the quality of research outcomes depends heavily on the rigor of our data collection procedures,Data rigor,Quality assurance,
Knowledge_Mobilization,Result_Utilization,T01-12,"20 papers have been produced during the whole project, but only one is published in a core journal, while the others are all in general journals",Publication quality,Research dissemination,
Knowledge_Mobilization,Result_Utilization,T01-33,It is difficult to go to high-level journals and publish high-level papers,Publication challenges,Academic recognition,
Knowledge_Mobilization,Result_Utilization,T01-05,"In the process of exploration, I hope that this precious information of my research can be emphasized and promoted by the state",Policy impact,National relevance,
Knowledge_Mobilization,Result_Utilization,L01-14,promoting rural development in ethnic areas can contribute to rural areas,Social impact,Community development,
Knowledge_Mobilization,Result_Utilization,L01-08,it is good to adhere to the orientation of solving problems in a practical way,Practical orientation,Problem-solving approach,
Knowledge_Mobilization,Result_Utilization,T01-22,they should explore in scientific research to serve local economic and social development,Local development,Regional impact,
